날짜,순위,도장층수,기록시간(초),캐릭터명,월드,직업군,세부직업,레벨,기록시간(분:초)
2025-01-05,54,86,896,엔젤릭블레스,루나,레지스탕스,제논,290,14:56
2025-01-05,55,86,896,의역,루나,도적,나이트로드,293,14:56
2025-01-05,56,86,898,신균,루나,마법사,비숍,289,14:58
2025-01-05,57,86,899,보름,루나,전사,히어로,290,14:59
2025-01-05,58,86,900,흑야,루나,해적,캡틴,285,15:00
2025-01-05,59,85,862,고딩,루나,전사,히어로,292,14:22
2025-01-05,60,85,876,치냐,루나,마법사,비숍,289,14:36
2025-01-05,61,85,876,오닉스,루나,에반,,292,14:36
2025-01-05,62,85,880,간지,루나,도적,나이트로드,291,14:40
2025-01-05,63,85,885,카므,루나,마법사,"아크메이지(불,독)",291,14:45
2025-01-05,64,85,885,일도리치,루나,마법사,"아크메이지(썬,콜)",291,14:45
2025-01-05,65,85,888,구드,루나,팬텀,,288,14:48
2025-01-05,66,85,890,깡김,루나,루미너스,,290,14:50
2025-01-05,67,85,892,지티Lumi,루나,루미너스,,290,14:52
2025-01-05,68,85,893,시검,루나,마법사,"아크메이지(불,독)",289,14:53
2025-01-05,69,85,899,꼬마불꽃,루나,기사단,플레임위자드,292,14:59
2025-01-05,70,85,900,지후,루나,마법사,비숍,288,15:00
2025-01-05,71,84,786,써든나로,루나,도적,나이트로드,291,13:06
2025-01-05,72,84,825,옆쪽,루나,도적,섀도어,286,13:45
2025-01-05,73,84,829,나잊,루나,기사단,나이트워커,292,13:49
2025-01-05,74,84,835,체뜨,루나,아델,,293,13:55
2025-01-05,75,84,839,햄토,루나,기사단,윈드브레이커,288,13:59
2025-01-05,76,84,868,하읨,루나,도적,섀도어,286,14:28
2025-01-05,77,84,872,반디브레이커,루나,기사단,윈드브레이커,291,14:32
2025-01-05,78,84,873,가딩,루나,일리움,,290,14:33
2025-01-05,79,84,882,샤뇽,루나,도적,섀도어,290,14:42
2025-01-05,80,84,890,주창아,루나,궁수,패스파인더,289,14:50
2025-01-05,81,84,891,투들링,루나,레지스탕스,데몬어벤져,286,14:51
2025-01-05,82,84,893,연호콜먼,루나,호영,,287,14:53
2025-01-05,83,83,866,투바,루나,아란,,290,14:26
2025-01-05,84,83,871,그래야지,루나,아란,,292,14:31
2025-01-05,85,83,881,노컴벳,루나,도적,나이트로드,290,14:41
2025-01-05,86,83,883,묘프,루나,도적,섀도어,290,14:43
2025-01-05,87,83,884,몽둥이여사님,루나,마법사,비숍,296,14:44
2025-01-05,88,83,886,너헤,루나,도적,나이트로드,290,14:46
2025-01-05,89,83,893,톰왔,루나,도적,듀얼블레이더,286,14:53
2025-01-05,90,83,895,아델갤럭시,루나,아델,,290,14:55
2025-01-05,91,83,898,총제,루나,도적,듀얼블레이더,291,14:58
2025-01-05,92,83,899,산잇,루나,아델,,291,14:59
2025-01-05,93,82,858,구구단,루나,도적,나이트로드,291,14:18
2025-01-05,94,82,860,천비,루나,마법사,비숍,287,14:20
2025-01-05,95,82,887,양나윤,루나,루미너스,,291,14:47
2025-01-05,96,82,896,도전자,루나,도적,나이트로드,290,14:56
2025-01-05,97,82,898,듀퐁,루나,초월자,제로,290,14:58
2025-01-05,98,81,749,리움,루나,일리움,,293,12:29
2025-01-05,99,81,856,려리네,루나,해적,바이퍼,289,14:16
2025-01-05,100,81,860,젬춘,루나,레지스탕스,배틀메이지,292,14:20
2025-01-05,101,81,873,저맘,루나,해적,바이퍼,291,14:33
2025-01-05,102,81,879,START,루나,전사,히어로,290,14:39
2025-01-05,103,81,879,Playlist,루나,레지스탕스,제논,285,14:39
2025-01-05,104,81,880,고광제,루나,루미너스,,293,14:40
2025-01-05,105,81,882,든쑤,루나,팬텀,,287,14:42
2025-01-05,106,81,888,솔대,루나,카이저,,289,14:48
2025-01-05,107,81,888,매표소,루나,전사,히어로,289,14:48
2025-01-05,108,81,892,때웅비숍,루나,마법사,비숍,286,14:52
2025-01-05,109,81,895,찝요,루나,도적,나이트로드,289,14:55
2025-01-05,110,81,899,러스트제논,루나,레지스탕스,제논,294,14:59
2025-01-05,111,80,630,리테,루나,기사단,윈드브레이커,293,10:30
2025-01-05,112,80,818,탐뀨,루나,카이저,,290,13:38
2025-01-05,113,80,854,일진남자,루나,해적,바이퍼,291,14:14
2025-01-05,114,80,861,오동쟝,루나,아란,,291,14:21
2025-01-05,115,80,872,HabG,루나,기사단,윈드브레이커,287,14:32
2025-01-05,116,80,873,래찬,루나,기사단,소울마스터,294,14:33
2025-01-05,117,80,875,채각,루나,기사단,스트라이커,287,14:35
2025-01-05,118,80,876,Crazy,루나,마법사,비숍,291,14:36
2025-01-05,119,80,882,듀블963,루나,도적,듀얼블레이더,290,14:42
2025-01-05,120,80,883,구와즈,루나,도적,나이트로드,292,14:43
2025-01-05,121,80,889,규서기,루나,전사,다크나이트,289,14:49
2025-01-05,122,80,889,핑소현,루나,기사단,윈드브레이커,288,14:49
2025-01-05,123,80,894,쎄율,루나,기사단,플레임위자드,289,14:54
2025-01-05,124,80,895,멸햄,루나,해적,바이퍼,291,14:55
2025-01-05,125,80,895,의미없는자,루나,해적,바이퍼,286,14:55
2025-01-05,126,80,895,만글,루나,해적,캡틴,284,14:55
2025-01-05,127,80,896,꽃귀신a,루나,레지스탕스,제논,292,14:56
2025-01-05,128,80,898,쏨급,루나,아델,,290,14:58
2025-01-05,129,79,835,백조의길,루나,기사단,윈드브레이커,290,13:55
2025-01-05,130,79,838,뭘또,루나,기사단,윈드브레이커,285,13:58
2025-01-05,131,79,842,알팟카,루나,아델,,286,14:02
2025-01-05,132,79,855,탱탱귤이,루나,아델,,292,14:15
2025-01-05,133,79,856,남고딩,루나,도적,나이트로드,291,14:16
2025-01-05,134,79,857,하와와와왕,루나,마법사,비숍,291,14:17
2025-01-05,135,79,857,시요찌,루나,도적,섀도어,287,14:17
2025-01-05,136,79,861,언둠,루나,기사단,소울마스터,286,14:21
2025-01-05,137,79,864,뉴멜,루나,라라,,288,14:24
2025-01-05,138,79,876,6월의연필,루나,라라,,289,14:36
2025-01-05,139,79,881,얼음화초,루나,아델,,289,14:41
2025-01-05,140,79,886,포크좌,루나,전사,다크나이트,289,14:46
2025-01-05,141,79,891,예콤,루나,마법사,비숍,286,14:51
2025-01-05,142,79,892,이겨와이,루나,도적,나이트로드,285,14:52
2025-01-05,143,79,892,치스동,루나,도적,듀얼블레이더,287,14:52
2025-01-05,144,79,894,더블콤보,루나,도적,듀얼블레이더,290,14:54
2025-01-05,145,79,895,콱콱,루나,해적,바이퍼,288,14:55
2025-01-05,146,79,897,맛쪼니,루나,궁수,신궁,288,14:57
2025-01-05,147,79,898,지각생요,루나,아델,,287,14:58
2025-01-05,148,79,898,혈궁은월,루나,은월,,290,14:58
2025-01-05,149,79,900,틱배,루나,아델,,292,15:00
2025-01-05,150,78,786,나로뽕길,루나,도적,나이트로드,285,13:06
2025-01-05,151,78,848,차경은,루나,궁수,보우마스터,281,14:08
2025-01-05,152,78,859,도빡,루나,전사,히어로,288,14:19
2025-01-05,153,78,876,난끝,루나,아크,,287,14:36
2025-01-05,154,78,881,캐리닷,루나,도적,나이트로드,287,14:41
2025-01-05,155,78,882,페르세포네,루나,레지스탕스,데몬어벤져,285,14:42
2025-01-05,156,78,888,메르남영,루나,메르세데스,,282,14:48
2025-01-05,157,78,889,래므,루나,마법사,"아크메이지(불,독)",281,14:49
2025-01-05,158,78,891,요꼬콥터,루나,메르세데스,,284,14:51
2025-01-05,159,78,896,시눙식,루나,호영,,296,14:56
2025-01-05,160,78,897,두영,루나,전사,히어로,285,14:57
2025-01-05,161,78,900,님팜,루나,도적,나이트로드,291,15:00
2025-01-05,162,77,849,쇼지수,루나,도적,나이트로드,290,14:09
2025-01-05,163,77,850,물찬가로활대,루나,마법사,비숍,289,14:10
2025-01-05,164,77,860,한서령,루나,기사단,스트라이커,289,14:20
2025-01-05,165,77,868,앵두맛앙마,루나,레지스탕스,데몬슬레이어,286,14:28
2025-01-05,166,77,868,내뽕,루나,도적,섀도어,281,14:28
2025-01-05,167,77,869,탬탬인,루나,기사단,나이트워커,285,14:29
2025-01-05,168,77,876,듀빵식,루나,도적,섀도어,284,14:36
2025-01-05,169,77,878,유룽히,루나,아크,,288,14:38
2025-01-05,170,77,878,티체르키,루나,레지스탕스,제논,287,14:38
2025-01-05,171,77,879,맑은푸름,루나,마법사,"아크메이지(썬,콜)",290,14:39
2025-01-05,172,77,886,린도준,루나,도적,듀얼블레이더,286,14:46
2025-01-05,173,77,890,구시눈,루나,전사,히어로,293,14:50
2025-01-05,174,77,894,골츄,루나,도적,나이트로드,287,14:54
2025-01-05,175,77,896,벳벳,루나,도적,나이트로드,288,14:56
2025-01-05,176,77,899,갚창,루나,전사,다크나이트,286,14:59
2025-01-05,177,76,696,국내산콩,루나,기사단,윈드브레이커,289,11:36
2025-01-05,178,76,846,켄타,루나,전사,팔라딘,285,14:06
2025-01-05,179,76,850,겟뜨,루나,궁수,신궁,288,14:10
2025-01-05,180,76,852,샨누,루나,도적,듀얼블레이더,286,14:12
2025-01-05,181,76,859,봉짱별,루나,초월자,제로,286,14:19
2025-01-05,182,76,859,탈것찾음,루나,레지스탕스,와일드헌터,287,14:19
2025-01-05,183,76,865,심야에암살,루나,도적,나이트로드,285,14:25
2025-01-05,184,76,869,담원,루나,라라,,291,14:29
2025-01-05,185,76,869,대범,루나,도적,듀얼블레이더,287,14:29
2025-01-05,186,76,883,현리l,루나,호영,,294,14:43
2025-01-05,187,76,883,배심,루나,전사,히어로,287,14:43
2025-01-05,188,76,886,뜨응뜨응,루나,도적,섀도어,284,14:46
2025-01-05,189,76,889,온리유얼,루나,아델,,286,14:49
2025-01-05,190,76,895,공중파뉴스,루나,호영,,285,14:55
2025-01-05,191,76,896,퍼니모법,루나,마법사,비숍,287,14:56
2025-01-05,192,75,855,노가다돌전사,루나,전사,팔라딘,292,14:15
2025-01-05,193,75,858,눈꽃밍,루나,마법사,비숍,283,14:18
2025-01-05,194,75,861,룻팬,루나,팬텀,,284,14:21
2025-01-05,195,75,862,형주니,루나,도적,나이트로드,287,14:22
2025-01-05,196,75,864,여킬,루나,도적,듀얼블레이더,284,14:24
2025-01-05,197,75,865,비앗또,루나,메르세데스,,287,14:25
2025-01-05,198,75,866,JoshLowe,루나,해적,바이퍼,283,14:26
2025-01-05,199,75,879,핑슈링,루나,레지스탕스,데몬어벤져,289,14:39
2025-01-05,200,75,880,카우코기,루나,기사단,소울마스터,288,14:40
